sec to nsec,1.00E+09
sec to micsec,1.00E+06
sec to msec,1000
sec to min,0.0166667
sec to hour,0.000277778
sec to day,1.16E-05
sec to week,1.65E-06
sec to month,3.81E-07
sec to year,3.17E-08
sec to decade,3.17E-09
sec to century,3.17E-10
min to sec,6.00E+01
min to hour,1.67E-02
hour to min,6.00E+01
hour to day,4.17E-02
day to hour,2.40E+01
hour to sec,3.60E+03
day to week,1.43E-01
week to day,7.00E+00
month to day,3.00E+01
month to week,4.00E+00
year to day,3.65E+02
year to month,1.20E+01
year to week,5.20E+01
